"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
028,Fern Lake,3.8,9530,6/10,FULL,FULL,FULL,FULL,FULL,FULL,FULL
028G,Fern Lake Group,3.8,9530,6/10,FULL,FULL,1,1,FULL,FULL,FULL
058,Finch Lake,4.6,9910,6/11,1,FULL,FULL,FULL,FULL,FULL,FULL
058GS,Finch Lake Group/Stock,4.6,9910,6/11,1,FULL,FULL,FULL,FULL,FULL,1
117,Flatiron,2.3,9840,7/04,NA,NA,NA,NA,NA,NA,NA
075,Foot Bridge,6.5,9290,6/15,NA,NA,NA,NA,NA,NA,NA
039,Glacier Gorge (Waste Bag),3.8,10000,6/19,FULL,FULL,FULL,FULL,FULL,FULL,FULL
042,Goblins Forest,1.2,10120,6/07,2,3,4,5,5,FULL,FULL
022,Golden Banner,2.5,9600,5/24,2,1,2,FULL,FULL,FULL,FULL
089,Granite Falls,5.4,9840,6/18,FULL,1,1,FULL,2,1,1
064G,Gray Jay Group,4.9,9650,6/11,1,FULL,1,1,1,FULL,1
082B,Green Mountain,1.8,9550,6/13,1,1,1,FULL,FULL,FULL,1
073,Grouseberry,6.2,9250,6/12,1,1,1,FULL,1,1,FULL
115,Hague Creek,1.6,9720,7/04,1,1,1,1,1,1,1
115GS,Hague Creek Group/Stock,1.6,9720,7/04,1,1,1,1,1,1,1
004,Halfway (WF),5.6,9340,6/02,FULL,FULL,1,FULL,1,FULL,FULL
006,Happily Lost (WF),6.2,9560,6/04,FULL,1,FULL,FULL,FULL,FULL,FULL
093,Haynach,7.2,10760,7/07,1,1,1,FULL,1,FULL,FULL
